version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.5__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0003,0.0001,0.0003,0,0.0,-0.00017323972956917347,1.0,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0003,0.0008,0.0024,3,1250.0,0.6122192774922396,2.2991681086270407e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0003,0.0001,0.0003,0,0.0,-0.00017323972956917347,1.0,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0003,0.0008,0.0024,3,1250.0,0.6122192774922396,2.2991681086270407e-09,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0,0.0001,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0,0.0008,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0,0.0001,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0,0.0008,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0003,0.0001,0.0003,0,0.0,-0.00017323972956917347,1.0,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0003,0.0008,0.0024,3,1250.0,0.6122192774922396,2.2991681086270407e-09,True,0.00029239766081871346
claude_code__m_claude-sonnet-4.6__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.0,0.0001,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.0,0.0,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.0,0.0008,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5-codex__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.0,0.0003,0.0,0,,,,False,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.0003,0.0003,0.0008999999999999999,3,3333.333333333334,1.0,1.2138161861609654e-10,True,0.00029239766081871346
codex__m_gpt-5.1-codex-max__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.0003,0.0,0.0,0,,,,False,0.00029239766081871346
