base_key,version_i,version_j,language_i,language_j,agent,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p
claude_code__m_claude-opus-4.5__run000,claude_code__m_claude-opus-4.5__l_pascal__run000,claude_code__m_claude-opus-4.5__l_python__run000,pascal,python,claude_code,0.000419,5e-06,0.0020950000000000005,0,0.0,-4.5780876492239965e-05,1.0
claude_code__m_claude-opus-4.5__run000,claude_code__m_claude-opus-4.5__l_pascal__run000,claude_code__m_claude-opus-4.5__l_rust__run000,pascal,rust,claude_code,0.000419,0.000424,0.177656,419,2358.490566037736,0.9940838013270878,0.0
claude_code__m_claude-opus-4.5__run000,claude_code__m_claude-opus-4.5__l_python__run000,claude_code__m_claude-opus-4.5__l_rust__run000,python,rust,claude_code,5e-06,0.000424,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16
claude_code__m_claude-opus-4.6__run000,claude_code__m_claude-opus-4.6__l_python__run000,claude_code__m_claude-opus-4.6__l_rust__run000,python,rust,claude_code,5e-06,5e-06,2.5000000000000005e-05,5,199999.99999999997,1.0,8.137769915668769e-26
claude_code__m_claude-sonnet-4.5__run000,claude_code__m_claude-sonnet-4.5__l_python__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,python,rust,claude_code,5.9e-05,5e-06,0.000295,5,16949.15254237288,0.2911033947204953,1.861305787532605e-20
claude_code__m_claude-sonnet-4.6__run000,claude_code__m_claude-sonnet-4.6__l_python__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,python,rust,claude_code,5e-06,0.000424,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16
codex__m_gpt-5-codex__run000,codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5-codex__l_python__run000,pascal,python,codex,0.000419,0.000422,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0
codex__m_gpt-5-codex__run000,codex__m_gpt-5-codex__l_pascal__run000,codex__m_gpt-5-codex__l_rust__run000,pascal,rust,codex,0.000419,5e-06,0.0020950000000000005,0,0.0,-4.5780876492239965e-05,1.0
codex__m_gpt-5-codex__run000,codex__m_gpt-5-codex__l_python__run000,codex__m_gpt-5-codex__l_rust__run000,python,rust,codex,0.000422,5e-06,0.0021100000000000003,2,947.8672985781989,0.04350338860136281,2.2229189492515607e-06
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex-max__l_python__run000,pascal,python,codex,0.000419,0.000422,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,pascal,rust,codex,0.000419,0.000424,0.177656,419,2358.490566037736,0.9940838013270878,0.0
codex__m_gpt-5.1-codex-max__run000,codex__m_gpt-5.1-codex-max__l_python__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,python,rust,codex,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1-codex__l_python__run000,pascal,python,codex,0.000419,0.000424,0.177656,419,2358.490566037736,0.9940838013270878,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_pascal__run000,codex__m_gpt-5.1-codex__l_rust__run000,pascal,rust,codex,0.000419,0.000424,0.177656,419,2358.490566037736,0.9940838013270878,0.0
codex__m_gpt-5.1-codex__run000,codex__m_gpt-5.1-codex__l_python__run000,codex__m_gpt-5.1-codex__l_rust__run000,python,rust,codex,0.000424,0.000424,0.17977600000000002,424,2358.490566037736,1.0,0.0
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_python__run000,pascal,python,codex,0.0,5e-06,0.0,0,,,
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_pascal__run000,codex__m_gpt-5.2-codex__l_rust__run000,pascal,rust,codex,0.0,5e-06,0.0,0,,,
codex__m_gpt-5.2-codex__run000,codex__m_gpt-5.2-codex__l_python__run000,codex__m_gpt-5.2-codex__l_rust__run000,python,rust,codex,5e-06,5e-06,2.5000000000000005e-05,3,119999.99999999997,0.5999979999899999,2.6041100268281094e-15
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.2__l_python__run000,pascal,python,codex,0.0,5e-06,0.0,0,,,
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_pascal__run000,codex__m_gpt-5.2__l_rust__run000,pascal,rust,codex,0.0,3e-06,0.0,0,,,
codex__m_gpt-5.2__run000,codex__m_gpt-5.2__l_python__run000,codex__m_gpt-5.2__l_rust__run000,python,rust,codex,5e-06,3e-06,1.5000000000000004e-05,3,199999.99999999994,0.7745958946421031,5.624919844520644e-16
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_python__run000,pascal,python,codex,0.0,5e-06,0.0,0,,,
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_pascal__run000,codex__m_gpt-5.3-codex__l_rust__run000,pascal,rust,codex,0.0,5.9e-05,0.0,0,,,
codex__m_gpt-5.3-codex__run000,codex__m_gpt-5.3-codex__l_python__run000,codex__m_gpt-5.3-codex__l_rust__run000,python,rust,codex,5e-06,5.9e-05,0.000295,5,16949.15254237288,0.2911033947204953,1.861305787532605e-20
