version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.1__l_pascal__run000,0.000422,0.000419,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.5__l_pascal__run000,0.000422,0.000419,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.5__l_python__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.5__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_python__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_python__run000,0.000422,5.9e-05,0.024898,3,120.49160575146598,0.018859236040890758,2.524853102559784e-06,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_python__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4__l_python__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5-codex__l_pascal__run000,0.000422,0.000419,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5-codex__l_python__run000,0.000422,0.000422,0.17808400000000002,420,2358.437591249073,0.9952586626627526,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_pascal__run000,0.000422,0.000419,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_python__run000,0.000422,0.000422,0.17808400000000002,422,2369.6682464454975,1.0,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_pascal__run000,0.000422,0.000419,0.17681799999999998,419,2369.668246445498,0.9964376625454754,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_python__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1__l_pascal__run000,0.000422,0.000427,0.180194,419,2325.2716516643172,0.9870552105605354,0.0,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_pascal__run000,0.000422,0.0,0.0,0,,,,False,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_python__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.000422,5e-06,0.0021100000000000003,2,947.8672985781989,0.04350338860136281,2.2229189492515607e-06,True,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2__l_pascal__run000,0.000422,0.0,0.0,0,,,,False,2.560163850486431e-05
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2__l_python__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,2.560163850486431e-05
