version_i,version_j,p_i,p_j,expected_cofailures,observed_cofailures,ratio_obs_exp,phi_correlation,binomial_p,significant_bonferroni,bonferroni_alpha
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.5__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.000422,5e-06,0.0021100000000000003,2,947.8672985781989,0.04350338860136281,2.2229189492515607e-06,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.000422,3e-06,0.001266,2,1579.778830963665,0.056186302660777884,8.007011586121353e-07,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.000422,5.9e-05,0.024898,3,120.49160575146598,0.018859236040890758,2.524853102559784e-06,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.000422,5e-06,0.0021100000000000003,3,1421.8009478672984,0.0652780551752797,1.5631749251589496e-09,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.000422,3e-06,0.001266,3,2369.6682464454975,0.08429724821970563,3.3785956258124545e-10,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.000422,0.00126,0.5317200000000001,420,789.8894154818324,0.5757355685927061,0.0,True,0.00029239766081871346
claude_code__m_claude-haiku-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.000422,0.000424,0.178928,422,2358.490566037736,0.9976377235557572,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-opus-4.6__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,0.000424,0.000424,0.17977600000000002,424,2358.490566037736,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,0.000424,0.000424,0.17977600000000002,424,2358.490566037736,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,0.000424,0.000424,0.17977600000000002,424,2358.490566037736,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,0.000424,5e-06,0.00212,3,1415.0943396226417,0.06512376343343976,1.5854937703814021e-09,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,0.000424,3e-06,0.001272,3,2358.490566037736,0.08409811481592172,3.426845133344278e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.3-codex__l_rust__run000,0.000424,5.9e-05,0.025016,5,199.87208186760472,0.031462096316811815,7.995633980437418e-11,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,codex__m_gpt-5.4__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-1.5__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-2-fast__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_composer-2__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,cursor__m_grok-4-20__l_rust__run000,0.000424,5e-06,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,gemini__m_gemini-3-flash-preview__l_rust__run000,0.000424,3e-06,0.001272,3,2358.490566037736,0.08409811481592172,3.426845133344278e-10,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,0.000424,0.00126,0.53424,422,789.907157831686,0.5771118146967886,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.5__l_rust__run000,opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,0.000424,0.000424,0.17977600000000002,424,2358.490566037736,1.0,0.0,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code__m_claude-sonnet-4.5__l_rust__run000,5e-06,5e-06,2.5000000000000005e-05,5,199999.99999999997,1.0,8.137769915668769e-26,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code__m_claude-sonnet-4.6__l_rust__run000,5e-06,0.000424,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5-codex__l_rust__run000,5e-06,5e-06,2.5000000000000005e-05,5,199999.99999999997,1.0,8.137769915668769e-26,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.1-codex-max__l_rust__run000,5e-06,0.000424,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.1-codex__l_rust__run000,5e-06,0.000424,0.00212,5,2358.490566037736,0.10857030794718932,3.562267144010628e-16,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.2-codex__l_rust__run000,5e-06,5e-06,2.5000000000000005e-05,3,119999.99999999997,0.5999979999899999,2.6041100268281094e-15,True,0.00029239766081871346
claude_code__m_claude-opus-4.6__l_rust__run000,codex__m_gpt-5.2__l_rust__run000,5e-06,3e-06,1.5000000000000004e-05,3,199999.99999999994,0.7745958946421031,5.624919844520644e-16,True,0.00029239766081871346
