version_id,agent,total,passed_count,failure_rate
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code,1000000,999578,0.00042200000000003346
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code,1000000,999576,0.00042399999999997995
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code,1000000,999995,5.000000000032756e-06
claude_code__m_claude-sonnet-4.5__l_rust__run000,claude_code,1000000,999995,5.000000000032756e-06
claude_code__m_claude-sonnet-4.6__l_rust__run000,claude_code,1000000,999576,0.00042399999999997995
codex__m_gpt-5-codex__l_rust__run000,codex,1000000,999995,5.000000000032756e-06
codex__m_gpt-5.1-codex-max__l_rust__run000,codex,1000000,999576,0.00042399999999997995
codex__m_gpt-5.1-codex__l_rust__run000,codex,1000000,999576,0.00042399999999997995
codex__m_gpt-5.2-codex__l_rust__run000,codex,1000000,999995,5.000000000032756e-06
codex__m_gpt-5.2__l_rust__run000,codex,1000000,999997,2.9999999999752447e-06
codex__m_gpt-5.3-codex__l_rust__run000,codex,1000000,999941,5.900000000003125e-05
codex__m_gpt-5.4__l_rust__run000,codex,1000000,999995,5.000000000032756e-06
cursor__m_composer-1.5__l_rust__run000,cursor,1000000,999995,5.000000000032756e-06
cursor__m_composer-2-fast__l_rust__run000,cursor,1000000,999995,5.000000000032756e-06
cursor__m_composer-2__l_rust__run000,cursor,1000000,999995,5.000000000032756e-06
cursor__m_grok-4-20__l_rust__run000,cursor,1000000,999995,5.000000000032756e-06
gemini__m_gemini-3-flash-preview__l_rust__run000,gemini,1000000,999997,2.9999999999752447e-06
opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,opencode,1000000,998740,0.0012600000000000389
opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,opencode,1000000,999576,0.00042399999999997995
