version_id,agent,total,passed_count,failure_rate
claude_code__m_claude-haiku-4.5__l_rust__run000,claude_code,1000000,999579,0.0004210000000000047
claude_code__m_claude-opus-4.5__l_rust__run000,claude_code,1000000,999579,0.0004210000000000047
claude_code__m_claude-opus-4.6__l_rust__run000,claude_code,1000000,999998,1.999999999946489e-06
claude_code__m_claude-sonnet-4.5__l_rust__run000,claude_code,1000000,999998,1.999999999946489e-06
claude_code__m_claude-sonnet-4.6__l_rust__run000,claude_code,1000000,999579,0.0004210000000000047
codex__m_gpt-5-codex__l_rust__run000,codex,1000000,999998,1.999999999946489e-06
codex__m_gpt-5.1-codex-max__l_rust__run000,codex,1000000,999579,0.0004210000000000047
codex__m_gpt-5.1-codex__l_rust__run000,codex,1000000,999579,0.0004210000000000047
codex__m_gpt-5.2-codex__l_rust__run000,codex,1000000,999998,1.999999999946489e-06
codex__m_gpt-5.2__l_rust__run000,codex,1000000,1000000,0.0
codex__m_gpt-5.3-codex__l_rust__run000,codex,1000000,999944,5.599999999994498e-05
codex__m_gpt-5.4__l_rust__run000,codex,1000000,999998,1.999999999946489e-06
cursor__m_composer-1.5__l_rust__run000,cursor,1000000,999998,1.999999999946489e-06
cursor__m_composer-2-fast__l_rust__run000,cursor,1000000,999998,1.999999999946489e-06
cursor__m_composer-2__l_rust__run000,cursor,1000000,999998,1.999999999946489e-06
cursor__m_grok-4-20__l_rust__run000,cursor,1000000,999998,1.999999999946489e-06
gemini__m_gemini-3-flash-preview__l_rust__run000,gemini,1000000,999998,1.999999999946489e-06
opencode__m_qwen_qwen3.5-397b-a17b__l_rust__run000,opencode,1000000,998743,0.0012569999999999526
opencode__m_qwen_qwen3.5-plus-02-15__l_rust__run000,opencode,1000000,999579,0.0004210000000000047
